 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

4512 atoms
3 atom types

0.000000   22.828464   xlo xhi 
0.000000   8.088404   ylo yhi 
0.000000   259.216927   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

3  1.007940
1  12.010700
2  18.998404

Atoms # charge

1 1 0.0 2.011537 2.079402 -5.431193 
2 2 0.0 0.699520 2.499216 -5.503486 
3 1 0.0 2.627015 1.951275 -4.257834 
4 3 0.0 3.586736 1.540430 -4.247894 
5 1 0.0 1.842828 1.957206 -3.008116 
6 2 0.0 0.972460 3.040213 -3.019499 
7 2 0.0 1.058276 0.818297 -2.938113 
8 1 0.0 2.595738 2.041375 -1.545549 
9 3 0.0 3.346600 1.220902 -1.436438 
10 3 0.0 3.071702 3.041636 -1.505523 
11 1 0.0 1.792415 1.927959 -0.243018 
12 2 0.0 0.878195 2.959086 -0.222331 
13 2 0.0 1.070103 0.786566 -0.212277 
14 1 0.0 2.600733 2.123773 1.135794 
15 3 0.0 3.396575 1.413515 1.224341 
16 3 0.0 3.197828 3.049314 0.993437 
17 1 0.0 1.845209 2.134345 2.438986 
18 2 0.0 1.039020 3.265773 2.400264 
19 2 0.0 0.987721 1.046248 2.402859 
20 1 0.0 2.686389 2.139117 3.838235 
21 3 0.0 3.423059 1.339859 3.721879 
22 3 0.0 3.242588 3.097235 3.811213 
23 1 0.0 1.898201 1.960372 5.104397 
24 2 0.0 0.953757 2.970854 5.140483 
25 2 0.0 1.192275 0.735680 4.958545 
26 1 0.0 2.635949 1.995898 6.561427 
27 2 0.0 3.770886 1.081932 6.509899 
28 3 0.0 3.005426 2.947626 6.538280 
29 1 0.0 1.921730 1.831795 7.958257 
30 2 0.0 0.903989 2.788073 8.042475 
31 2 0.0 1.260970 0.601660 7.972219 
32 1 0.0 2.722370 1.908431 9.271896 
33 3 0.0 3.351062 1.069301 9.268938 
34 3 0.0 3.379637 2.739054 9.302393 
35 1 0.0 1.892195 1.959553 10.600820 
36 2 0.0 1.090896 3.093457 10.515298 
37 2 0.0 1.024150 0.842346 10.573045 
38 1 0.0 2.607417 2.032874 12.041646 
39 3 0.0 3.139382 1.053159 12.094209 
40 3 0.0 3.405656 2.735246 12.057308 
41 1 0.0 1.781294 2.085115 13.312656 
42 2 0.0 1.080650 3.252518 13.262520 
43 2 0.0 0.827650 1.039595 13.212228 
44 1 0.0 2.576912 1.962294 14.716377 
45 3 0.0 3.050012 0.990657 14.657292 
46 2 0.0 3.597859 2.962989 14.705079 
47 1 0.0 1.808636 2.020854 16.097043 
48 2 0.0 1.158253 3.273670 16.169850 
49 2 0.0 0.715648 1.124506 16.070359 
50 1 0.0 2.475486 1.916437 17.477041 
51 3 0.0 3.088905 0.982134 17.570706 
52 3 0.0 3.236873 2.643443 17.522074 
53 1 0.0 1.674857 1.999572 18.833453 
54 2 0.0 0.954661 3.185624 18.895949 
55 2 0.0 0.792615 0.915788 18.797907 
56 1 0.0 2.487356 1.852422 20.179579 
57 3 0.0 3.167519 0.940605 19.999067 
58 3 0.0 3.144001 2.681736 20.323905 
59 1 0.0 1.802219 1.658761 21.515284 
60 2 0.0 0.807270 2.592623 21.598572 
61 2 0.0 1.214962 0.388131 21.409200 
62 1 0.0 2.581975 1.700596 22.920419 
63 2 0.0 3.707677 0.848351 22.897227 
64 3 0.0 3.056472 2.677097 22.863506 
65 1 0.0 1.817104 1.639777 24.340901 
66 2 0.0 0.824239 2.652370 24.332627 
67 2 0.0 1.107868 0.453752 24.476196 
68 1 0.0 2.600242 1.785192 25.636938 
69 3 0.0 3.275991 0.946850 25.654976 
70 3 0.0 3.177041 2.703349 25.688545 
71 1 0.0 1.796462 1.761918 26.986978 
72 2 0.0 0.990811 2.855290 27.045862 
73 2 0.0 0.982547 0.666575 26.980946 
74 1 0.0 2.599911 1.595044 28.362459 
75 3 0.0 2.927036 0.551995 28.316372 
76 3 0.0 3.464940 2.168497 28.377105 
77 1 0.0 1.905129 1.880351 29.663944 
78 2 0.0 1.330015 3.146117 29.587969 
79 2 0.0 0.871509 0.918916 29.710303 
80 1 0.0 2.688736 1.860077 31.104715 
81 3 0.0 3.265168 0.933495 31.065915 
82 2 0.0 3.728518 2.833879 30.987709 
83 1 0.0 1.901267 1.941575 32.477445 
84 2 0.0 1.189015 3.155291 32.525443 
85 2 0.0 0.957574 0.887028 32.525100 
86 1 0.0 2.812550 1.885695 33.752391 
87 3 0.0 3.275820 0.899916 33.697419 
88 3 0.0 3.589879 2.625451 33.680601 
89 1 0.0 2.057093 2.002304 35.125659 
90 2 0.0 1.270745 3.144865 35.122253 
91 2 0.0 1.163346 0.967915 35.188213 
92 1 0.0 2.933864 1.974984 36.466311 
93 3 0.0 3.552736 1.172342 36.515605 
94 3 0.0 3.550939 2.835125 36.514897 
95 1 0.0 2.249642 2.048647 37.785859 
96 2 0.0 0.997491 2.624463 37.795101 
