
	position 0		position 1		position 2		position 3		position 4		position 5		position 6		position 7		position 8		position 9		position 10		position 11		position 12		position 13		position 14		position 15
1700	0.106981441	1700	0.104148246	1700	0.103923656	1700	0.107205063	1700	0.112148002	1700	0.112119831	1700	0.101301908	1700	0.103310488	1700	0.103549831	1700	0.096763566	1700	0.117296286	1700	0.106174976	1700	0.108528763	1700	0.102314167	1700	0.103910305	1700	0.116292119
1699	0.106598698	1699	0.106110118	1699	0.101938032	1699	0.103308871	1699	0.101968735	1699	0.103794195	1699	0.097681463	1699	0.09441483	1699	0.105671979	1699	0.098018706	1699	0.088921413	1699	0.106920354	1699	0.105509683	1699	0.090646118	1699	0.097195439	1699	0.114065751
1698	0.120036431	1698	0.124638483	1698	0.10646683	1698	0.109789982	1698	0.091859177	1698	0.102389112	1698	0.100524917	1698	0.108432174	1698	0.112403147	1698	0.099999368	1698	0.104180008	1698	0.092235968	1698	0.099296421	1698	0.116566777	1698	0.12214797	1698	0.111235544
1697	0.164483637	1697	0.16819495	1697	0.157866269	1697	0.169008613	1697	0.138606757	1697	0.152958587	1697	0.165388852	1697	0.172874212	1697	0.147151738	1697	0.143202618	1697	0.163475916	1697	0.164161295	1697	0.170475736	1697	0.149922997	1697	0.146243677	1697	0.168464288
1696	0.102853604	1696	0.111883588	1696	0.107252687	1696	0.107911468	1696	0.128717899	1696	0.117881812	1696	0.127762556	1696	0.115817212	1696	0.12304841	1696	0.132057711	1696	0.11005038	1696	0.113859683	1696	0.107062608	1696	0.115152352	1696	0.134869158	1696	0.115466215
1695	0.108272493	1695	0.102455236	1695	0.102114506	1695	0.112540834	1695	0.107197411	1695	0.111701615	1695	0.106357329	1695	0.098391235	1695	0.106274419	1695	0.116638988	1695	0.110140048	1695	0.111131765	1695	0.099258341	1695	0.104956888	1695	0.111789033	1695	0.109935261
1694	0.12322709	1694	0.1031003	1694	0.093643971	1694	0.106739208	1694	0.108193994	1694	0.107361242	1694	0.099484473	1694	0.102739654	1694	0.101793073	1694	0.114080936	1694	0.09714698	1694	0.093503319	1694	0.093870841	1694	0.100540034	1694	0.098966278	1694	0.109306827
1693	0.106206909	1693	0.11019174	1693	0.11266049	1693	0.112143002	1693	0.109765783	1693	0.110023767	1693	0.111149237	1693	0.102264196	1693	0.107822411	1693	0.117575601	1693	0.098177858	1693	0.109532997	1693	0.103242181	1693	0.112610683	1693	0.111024238	1693	0.11814364
1692	0.10890539	1692	0.109059244	1692	0.104625657	1692	0.109917358	1692	0.10502772	1692	0.127130747	1692	0.115701728	1692	0.103022046	1692	0.11621628	1692	0.110537499	1692	0.112249397	1692	0.101036698	1692	0.106498048	1692	0.100453645	1692	0.107789554	1692	0.111313924
1691	0.110977463	1691	0.115336083	1691	0.109167345	1691	0.124143787	1691	0.115465455	1691	0.120351389	1691	0.115864344	1691	0.123968937	1691	0.121174149	1691	0.120884642	1691	0.109136283	1691	0.11694511	1691	0.140025273	1691	0.11629194	1691	0.11382331	1691	0.128061786
1690	0.098851547	1690	0.107898004	1690	0.105420947	1690	0.122552961	1690	0.120970845	1690	0.118356518	1690	0.111538857	1690	0.10494706	1690	0.114085764	1690	0.118597142	1690	0.106243908	1690	0.107002743	1690	0.122470841	1690	0.11398007	1690	0.107516132	1690	0.108343028
1689	0.107322969	1689	0.106921941	1689	0.106857039	1689	0.106985912	1689	0.124875024	1689	0.111095786	1689	0.102238521	1689	0.124446921	1689	0.109762408	1689	0.118417442	1689	0.11814633	1689	0.107851431	1689	0.120752826	1689	0.115830414	1689	0.113921545	1689	0.124301963
1688	0.114311472	1688	0.125649124	1688	0.107914209	1688	0.120660029	1688	0.118059285	1688	0.11563018	1688	0.103695504	1688	0.116397142	1688	0.113671914	1688	0.127350748	1688	0.119058982	1688	0.121663041	1688	0.118138932	1688	0.106735453	1688	0.123298869	1688	0.119154438
1687	0.105709419	1687	0.114066646	1687	0.120323531	1687	0.110120699	1687	0.117826954	1687	0.123853244	1687	0.107181728	1687	0.12251392	1687	0.117731504	1687	0.112876013	1687	0.121725455	1687	0.128477871	1687	0.112946197	1687	0.114265874	1687	0.10973192	1687	0.124340877
1686	0.151094452	1686	0.15893665	1686	0.16176255	1686	0.173461661	1686	0.159643561	1686	0.172416091	1686	0.17597194	1686	0.161498085	1686	0.164435372	1686	0.158581793	1686	0.141491234	1686	0.161639288	1686	0.167298928	1686	0.15844065	1686	0.163046718	1686	0.172813579
