&	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19
1700	0.07307	0.09866	0.08629	0.08363	0.09886	0.09125	0.08461	0.08039	0.07773	0.08286	0.07459	0.08619	0.08094	0.08231	0.08153	0.10118	0.08042	0.08149	0.08701	0.08492
1699	0.08713	0.09403	0.07436	0.09108	0.09404	0.07548	0.07529	0.07896	0.08829	0.07888	0.07748	0.08042	0.07345	0.08792	0.0786	0.08317	0.09191	0.08741	0.07694	0.08205
1698	0.09486	0.09098	0.09429	0.09737	0.08848	0.08053	0.07986	0.08621	0.08038	0.09448	0.07086	0.08727	0.07208	0.07717	0.08153	0.08785	0.0903	0.08864	0.09757	0.07924
1697	0.09526	0.087265	0.089425	0.09338	0.096725	0.09081	0.0846	0.08723	0.07743	0.084115	0.081335	0.08968	0.082235	0.077915	0.0883	0.09951	0.08899	0.095795	0.095825	0.0889
1696	0.09566	0.08355	0.08456	0.08939	0.10497	0.10109	0.08934	0.08825	0.07448	0.07375	0.09181	0.09209	0.09239	0.07866	0.09507	0.11117	0.08768	0.10295	0.09408	0.09856
1695	0.08629	0.07876	0.08792	0.08651	0.08695	0.08636	0.07603	0.07902	0.08186	0.07629	0.07414	0.08227	0.08657	0.09099	0.08429	0.08167	0.07979	0.08785	0.09201	0.08601
1694	0.08318	0.09137	0.09107	0.09335	0.09037	0.09949	0.09395	0.0814	0.081	0.09082	0.07627	0.07854	0.06957	0.08508	0.08531	0.08752	0.09335	0.09708	0.08634	0.09157
1693	0.09402	0.10554	0.09692	0.09452	0.09499	0.09836	0.09898	0.08261	0.08789	0.08018	0.08259	0.08293	0.0879	0.08226	0.0787	0.08539	0.08836	0.08811	0.10412	0.09631
1692	0.09138	0.10753	0.09398	0.10056	0.10144	0.08664	0.08802	0.07888	0.0891	0.08627	0.08463	0.08261	0.09067	0.0886	0.08649	0.08209	0.09832	0.09753	0.10059	0.08486
1691	0.10497	0.09684	0.11166	0.10043	0.08419	0.09222	0.09292	0.08224	0.08707	0.09163	0.09232	0.08477	0.08487	0.08343	0.10018	0.09625	0.10429	0.09355	0.1018	0.09501
1690	0.09859	0.08441	0.09591	0.0982	0.09145	0.08513	0.09241	0.08826	0.08283	0.08505	0.09061	0.08015	0.07776	0.08426	0.08883	0.08752	0.10189	0.08349	0.1	0.10746
1689	0.0894	0.10243	0.09612	0.10328	0.10594	0.08673	0.09244	0.09789	0.08254	0.08793	0.08496	0.08678	0.0824	0.09152	0.10077	0.09988	0.09967	0.10519	0.09903	0.1005
