 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

480 atoms
4 atom types

0.000000   88.142027   xlo xhi 
0.000000   16.000000   ylo yhi 
0.000000   88.142027   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

4  14.006700
1  12.010700
2  1.007940
3  15.999000

Atoms # charge

1 1 0.0 46.081002 2.239998 4.679788 
2 1 0.0 46.686130 3.302638 4.017109 
3 1 0.0 47.205535 3.119791 2.759205 
4 1 0.0 47.192971 1.838882 2.244743 
5 1 0.0 45.939964 0.991311 4.082976 
6 1 0.0 46.529432 0.795703 2.864107 
7 1 0.0 47.856440 1.351868 1.032616 
8 4 0.0 47.364414 -0.088054 0.826376 
9 1 0.0 44.725559 -2.941935 20.128931 
10 2 0.0 46.817469 4.244346 4.534422 
11 2 0.0 47.644525 3.937733 2.219030 
12 2 0.0 45.430582 0.189146 4.591951 
13 3 0.0 45.846899 -1.384673 2.173375 
14 1 0.0 46.515962 -0.393105 1.983368 
15 3 0.0 48.553466 1.988728 0.300118 
16 1 0.0 45.626510 2.436717 6.022243 
17 1 0.0 45.231090 3.703807 6.443657 
18 1 0.0 44.762859 3.926006 7.716117 
19 1 0.0 44.717305 2.840888 8.535993 
20 1 0.0 45.595383 1.349352 6.882268 
21 1 0.0 45.133284 1.594063 8.126901 
22 1 0.0 44.232453 2.739444 9.890291 
23 4 0.0 44.429357 1.410912 10.242842 
24 3 0.0 43.727780 3.593786 10.584850 
25 2 0.0 45.254676 4.524761 5.750286 
26 2 0.0 44.418673 4.884467 8.059740 
27 2 0.0 45.917825 0.358024 6.612534 
28 3 0.0 45.199733 -0.539247 9.221452 
29 1 0.0 44.958735 0.650970 9.210428 
30 1 0.0 44.812722 -1.727164 20.781361 
31 2 0.0 45.483447 4.969625 39.439473 
32 2 0.0 44.144729 -4.367928 16.989828 
33 1 0.0 43.815133 -0.556633 16.700414 
34 1 0.0 43.278115 -1.377579 15.731656 
35 1 0.0 43.408233 -2.745386 15.804779 
36 1 0.0 44.049816 -3.300879 16.888832 
37 1 0.0 44.577531 -2.487807 17.868110 
38 1 0.0 44.466600 -1.111908 17.777839 
39 1 0.0 46.935828 0.068049 42.301272 
40 2 0.0 44.083155 -4.973515 20.168948 
41 3 0.0 45.266826 -3.106018 18.884207 
42 2 0.0 41.161619 0.410229 13.144717 
43 1 0.0 42.194714 0.378394 12.857994 
44 1 0.0 42.641767 0.953536 11.709908 
45 2 0.0 42.976046 -4.710874 22.402681 
46 1 0.0 43.985820 0.873033 11.429530 
47 3 0.0 42.481858 -0.835803 14.754791 
48 1 0.0 44.883783 0.242525 12.250934 
49 2 0.0 45.917807 0.194213 11.955473 
50 1 0.0 44.438100 -0.346487 13.410437 
51 2 0.0 45.124848 -0.870279 14.052076 
52 1 0.0 43.085742 -0.268033 13.690607 
53 2 0.0 42.981098 -3.373762 15.040610 
54 2 0.0 43.704001 0.512377 16.625293 
55 1 0.0 44.187940 -1.590248 21.989371 
56 1 0.0 43.532953 -2.680713 22.519834 
57 2 0.0 44.181440 -0.644515 22.510390 
58 1 0.0 43.511657 -3.908170 21.923595 
59 2 0.0 44.873757 -0.464848 18.532495 
60 1 0.0 44.119323 -4.041296 20.701686 
61 2 0.0 41.972885 1.465697 11.040633 
62 1 0.0 41.390741 0.210255 26.956893 
63 1 0.0 40.401338 0.529816 26.039269 
64 1 0.0 40.304970 -0.133182 24.843733 
65 1 0.0 41.243263 -1.090711 24.621495 
66 1 0.0 42.309742 -0.800933 26.745191 
67 1 0.0 42.220202 -1.419281 25.542633 
68 1 0.0 41.542009 -1.720147 23.362486 
69 4 0.0 42.713224 -2.450938 23.610657 
70 1 0.0 46.566437 1.108997 41.457199 
71 2 0.0 39.723461 1.332474 26.264659 
72 2 0.0 39.588561 0.108017 24.078314 
73 2 0.0 43.121138 -0.998288 27.427869 
74 3 0.0 44.234620 -2.722372 25.357426 
75 1 0.0 43.196068 -2.288827 24.909798 
76 3 0.0 40.985441 -1.583664 22.294734 
77 2 0.0 40.133494 3.748502 33.635124 
78 1 0.0 41.528162 1.042349 28.106350 
79 1 0.0 41.513299 2.414069 27.897722 
80 1 0.0 41.630023 3.280149 28.954365 
81 1 0.0 41.740040 2.707050 30.181899 
82 1 0.0 41.671601 0.467835 29.358955 
83 1 0.0 41.758519 1.343080 30.390782 
84 1 0.0 41.837474 3.387505 31.449120 
85 4 0.0 41.884662 2.363694 32.390362 
86 3 0.0 41.873284 4.585305 31.646448 
87 2 0.0 41.431886 2.797472 26.894843 
88 2 0.0 41.629210 4.348271 28.851186 
89 2 0.0 41.663432 -0.599337 29.519724 
90 3 0.0 41.880060 0.044385 32.414326 
91 1 0.0 41.849851 1.098922 31.817273 
92 1 0.0 46.044049 2.299105 41.946555 
93 3 0.0 45.869657 3.362915 41.135364 
94 2 0.0 43.848158 1.458472 41.198972 
95 1 0.0 43.742287 4.182124 38.433735 
