 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

5160 atoms
4 atom types

0.000000   8.000000   xlo xhi 
0.000000   326.000000   ylo yhi 
0.000000   45.990000   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

3  15.999000
2  1.007940
1  12.010700
4  14.006700

Atoms # charge

1 1 0.0 2.009989 2.239998 4.883560 
2 1 0.0 2.615116 3.302638 4.192026 
3 1 0.0 3.134522 3.119791 2.879349 
4 1 0.0 3.121958 1.838882 2.342486 
5 1 0.0 1.868951 0.991311 4.260761 
6 1 0.0 2.458419 0.795703 2.988819 
7 1 0.0 3.785427 1.351868 1.077579 
8 4 0.0 3.293400 -0.088054 0.862359 
9 1 0.0 0.654546 -2.941935 21.005406 
10 2 0.0 2.746456 4.244346 4.731864 
11 2 0.0 3.573512 3.937733 2.315653 
12 2 0.0 1.359569 0.189146 4.791898 
13 3 0.0 1.775886 -1.384673 2.268010 
14 1 0.0 2.444949 -0.393105 2.069729 
15 3 0.0 4.482452 1.988728 0.313186 
16 1 0.0 1.555497 2.436717 6.284470 
17 1 0.0 1.160077 3.703807 6.724234 
18 1 0.0 0.691846 3.926006 8.052100 
19 1 0.0 0.646291 2.840888 8.907676 
20 1 0.0 1.524369 1.349352 7.181942 
21 1 0.0 1.062271 1.594063 8.480771 
22 1 0.0 0.161439 2.739444 10.320945 
23 4 0.0 0.358343 1.410912 10.688847 
24 3 0.0 -0.343234 3.593786 11.045747 
25 2 0.0 1.183662 4.524761 6.000671 
26 2 0.0 0.347660 4.884467 8.410686 
27 2 0.0 1.846811 0.358024 6.900464 
28 3 0.0 1.128720 -0.539247 9.622982 
29 1 0.0 0.887722 0.650970 9.611478 
30 1 0.0 0.741709 -1.727164 21.686245 
31 2 0.0 1.412434 4.969625 41.156789 
32 2 0.0 0.073716 -4.367928 17.729617 
33 1 0.0 -0.255881 -0.556633 17.427601 
34 1 0.0 -0.792898 -1.377579 16.416661 
35 1 0.0 -0.662780 -2.745386 16.492967 
36 1 0.0 -0.021197 -3.300879 17.624223 
37 1 0.0 0.506518 -2.487807 18.646142 
38 1 0.0 0.395586 -1.111908 18.551941 
39 1 0.0 2.864814 0.068049 44.143199 
40 2 0.0 0.012142 -4.973515 21.047165 
41 3 0.0 1.195813 -3.106018 19.706483 
42 2 0.0 -2.909394 0.410229 13.717078 
43 1 0.0 -1.876299 0.378394 13.417870 
44 1 0.0 -1.429246 0.953536 12.219793 
45 2 0.0 -1.094967 -4.710874 23.378162 
46 1 0.0 -0.085194 0.873033 11.927207 
47 3 0.0 -1.589155 -0.835803 15.397260 
48 1 0.0 0.812769 0.242525 12.784377 
49 2 0.0 1.846794 0.194213 12.476051 
50 1 0.0 0.367087 -0.346487 13.994368 
51 2 0.0 1.053834 -0.870279 14.663946 
52 1 0.0 -0.985272 -0.268033 14.286738 
53 2 0.0 -1.089915 -3.373762 15.695524 
54 2 0.0 -0.367012 0.512377 17.349210 
55 1 0.0 0.116926 -1.590248 22.946855 
56 1 0.0 -0.538061 -2.680713 23.500417 
57 2 0.0 0.110426 -0.644515 23.490561 
58 1 0.0 -0.559356 -3.908170 22.878216 
59 2 0.0 0.802743 -0.464848 19.339457 
60 1 0.0 0.048310 -4.041296 21.603101 
61 2 0.0 -2.098129 1.465697 11.521376 
62 1 0.0 -2.680272 0.210255 28.130679 
63 1 0.0 -3.669675 0.529816 27.173099 
64 1 0.0 -3.766043 -0.133182 25.925505 
65 1 0.0 -2.827750 -1.090711 25.693590 
66 1 0.0 -1.761271 -0.800933 27.909758 
67 1 0.0 -1.850811 -1.419281 26.654837 
68 1 0.0 -2.529004 -1.720147 24.379761 
69 4 0.0 -1.357790 -2.450938 24.638737 
70 1 0.0 2.495423 1.108997 43.262372 
71 2 0.0 -4.347553 1.332474 27.408302 
72 2 0.0 -4.482452 0.108017 25.126757 
73 2 0.0 -0.949875 -0.998288 28.622163 
74 3 0.0 0.163606 -2.722372 26.461566 
75 1 0.0 -0.874945 -2.288827 25.994447 
76 3 0.0 -3.085573 -1.583664 23.265515 
77 2 0.0 -3.937519 3.748502 35.099700 
78 1 0.0 -2.542852 1.042349 29.330186 
79 1 0.0 -2.557714 2.414069 29.112475 
80 1 0.0 -2.440990 3.280149 30.215127 
81 1 0.0 -2.330974 2.707050 31.496111 
82 1 0.0 -2.399412 0.467835 30.637334 
83 1 0.0 -2.312495 1.343080 31.714090 
84 1 0.0 -2.233539 3.387505 32.818511 
85 4 0.0 -2.186351 2.363694 33.800738 
86 3 0.0 -2.197730 4.585305 33.024431 
87 2 0.0 -2.639128 2.797472 28.065926 
88 2 0.0 -2.441803 4.348271 30.107455 
89 2 0.0 -2.407581 -0.599337 30.805103 
90 3 0.0 -2.190954 0.044385 33.825745 
91 1 0.0 -2.221162 1.098922 33.202694 
92 1 0.0 1.973036 2.299105 43.773036 
93 3 0.0 1.798644 3.362915 42.926523 
