 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

5160 atoms
4 atom types

0.000000   6.908563   xlo xhi 
0.000000   300.   ylo yhi 
0.000000   39.715602   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

3  15.999000
2  1.007940
4  14.006700
1  12.010700

Atoms # charge

1 2 0.0 13.969540 12.651744 3.685177 
2 1 0.0 14.923678 12.165068 3.481053 
3 1 0.0 15.924270 12.779427 2.624658 
4 2 0.0 18.288379 7.244951 4.559079 
5 2 0.0 14.398423 10.428401 4.676065 
6 2 0.0 17.855043 8.557415 6.754199 
7 1 0.0 15.231349 10.917981 4.089663 
8 1 0.0 17.279597 12.302002 2.723271 
9 2 0.0 18.134323 12.912626 2.356668 
10 1 0.0 16.532493 10.243829 4.002598 
11 1 0.0 18.087162 8.203270 4.059215 
12 1 0.0 17.523198 11.038503 3.282533 
13 2 0.0 17.901432 8.075706 2.974809 
14 1 0.0 17.488065 9.410189 6.164563 
15 2 0.0 19.058896 8.710585 4.194967 
16 2 0.0 18.523200 10.593563 3.254211 
17 1 0.0 16.893909 8.987892 4.757924 
18 2 0.0 18.278533 10.175687 6.039117 
19 2 0.0 16.723027 9.894657 6.823879 
20 1 0.0 15.824149 7.994471 5.103204 
21 2 0.0 16.438264 6.541080 3.656371 
22 2 0.0 14.809964 9.169005 6.724559 
23 1 0.0 15.751103 6.687035 4.459179 
24 1 0.0 14.878733 8.197153 6.212888 
25 1 0.0 14.976342 5.626063 4.984623 
26 1 0.0 14.092214 7.184946 6.763703 
27 2 0.0 14.956058 4.625854 4.565088 
28 2 0.0 13.458560 7.385121 7.621935 
29 1 0.0 14.214065 5.834248 6.203251 
30 3 0.0 13.906009 4.737726 6.920865 
31 2 0.0 15.093462 4.000000 9.140776 
32 1 0.0 13.347088 4.870182 8.145698 
33 1 0.0 14.098902 4.445062 9.294568 
34 2 0.0 11.471682 5.688316 7.520332 
35 1 0.0 12.069614 5.432389 8.412229 
36 1 0.0 13.748512 4.730361 10.647594 
37 2 0.0 14.392642 4.419463 11.453312 
38 1 0.0 11.558026 5.685169 9.738175 
39 1 0.0 12.425391 5.268193 10.897364 
40 1 0.0 10.338134 6.364844 10.331157 
41 3 0.0 9.415660 6.786803 9.659552 
42 1 0.0 11.776108 5.582229 12.253436 
43 4 0.0 10.434151 6.312555 11.862502 
44 3 0.0 12.295106 5.262650 13.265955 
45 2 0.0 7.658984 6.814362 11.835622 
46 1 0.0 9.529039 6.945274 12.897712 
47 1 0.0 8.135278 7.201774 12.717038 
48 2 0.0 11.015881 7.200797 14.438487 
49 1 0.0 9.995464 7.481165 14.139407 
50 1 0.0 7.420900 8.094432 13.596927 
51 2 0.0 6.357767 8.335924 13.376982 
52 1 0.0 9.359160 8.332874 15.106685 
53 1 0.0 8.018755 8.706199 14.723631 
54 3 0.0 12.328527 8.076171 16.067631 
55 4 0.0 10.036500 8.843985 16.343343 
56 2 0.0 7.414931 9.393911 15.327743 
57 1 0.0 11.467752 8.563445 16.764128 
58 3 0.0 8.505614 10.678104 17.318766 
59 1 0.0 9.517703 10.064333 17.297339 
60 1 0.0 11.798333 9.328251 18.057002 
61 1 0.0 10.632230 10.256567 18.314093 
62 2 0.0 13.767755 8.653955 18.776546 
63 1 0.0 12.951813 9.338112 18.901550 
64 1 0.0 10.636738 11.144105 19.452616 
65 2 0.0 9.759442 11.765119 19.727249 
66 1 0.0 12.887754 10.248562 20.009100 
67 1 0.0 11.802374 11.143907 20.253390 
68 2 0.0 13.766362 10.320206 20.671545 
69 2 0.0 13.703375 12.257413 19.075548 
70 3 0.0 11.807508 12.287605 21.112416 
71 1 0.0 13.717667 13.081429 19.786315 
72 1 0.0 12.776080 13.139223 20.898222 
73 2 0.0 15.456773 13.894025 18.764496 
74 2 0.0 16.765755 15.560068 18.325847 
75 2 0.0 14.943683 17.336193 19.453760 
76 1 0.0 14.734781 14.027942 19.591641 
77 1 0.0 12.932823 14.274830 21.791425 
78 2 0.0 12.238349 14.424592 22.627295 
79 1 0.0 17.268546 15.499616 19.300098 
80 1 0.0 15.053233 15.044406 20.587107 
81 1 0.0 15.849716 17.359502 20.075075 
82 2 0.0 18.208876 16.143470 19.253089 
83 1 0.0 14.071823 15.108371 21.662835 
84 2 0.0 15.485146 17.908143 20.984174 
85 2 0.0 17.643193 14.461545 19.549975 
86 2 0.0 16.638485 17.937345 19.674403 
87 1 0.0 16.298053 15.950986 20.428734 
88 2 0.0 14.163333 15.889499 22.441924 
89 1 0.0 17.181311 16.095144 21.694934 
90 2 0.0 16.067581 14.632155 22.878772 
91 2 0.0 18.675854 17.628873 21.002778 
92 1 0.0 16.817156 15.412097 22.941048 
93 1 0.0 18.281973 17.036205 21.833379 
94 1 0.0 17.417909 15.696551 24.193855 
95 1 0.0 18.941316 17.203844 23.092243 
96 2 0.0 17.052047 15.193452 25.046846 
