 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

20640 atoms
4 atom types

0.000000   16.000000   xlo xhi 
0.000000   640.000000   ylo yhi 
0.000000   45.990000   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

4  14.006700
2  1.007940
3  15.999000
1  12.010700

Atoms # charge

1 2 0.0 1.154857 0.018621 0.928602 
2 1 0.0 1.488831 -0.989895 1.171602 
3 1 0.0 1.206755 -2.129600 0.344905 
4 2 0.0 4.905934 -4.260325 3.532521 
5 2 0.0 2.604605 -0.290104 2.864775 
6 2 0.0 5.697394 -1.942492 3.038929 
7 1 0.0 2.337878 -1.144913 2.237715 
8 1 0.0 1.730969 -3.427404 0.657153 
9 2 0.0 1.488970 -4.316288 0.043543 
10 1 0.0 2.937957 -2.442465 2.539793 
11 1 0.0 4.175352 -3.881321 4.259783 
12 1 0.0 2.598642 -3.600109 1.747830 
13 2 0.0 4.674149 -3.890953 5.272962 
14 1 0.0 4.957651 -1.493469 3.741678 
15 2 0.0 3.328309 -4.663906 4.383221 
16 2 0.0 3.000873 -4.520764 2.074890 
17 1 0.0 3.666117 -2.439704 3.835429 
18 2 0.0 4.669677 -0.515772 3.452640 
19 2 0.0 5.529820 -1.410732 4.697081 
20 1 0.0 2.707473 -2.018585 4.892896 
21 2 0.0 1.284166 -3.660731 4.337437 
22 2 0.0 3.732977 -0.153541 5.585323 
23 1 0.0 1.488708 -2.787829 4.988756 
24 1 0.0 2.866796 -0.848212 5.728479 
25 1 0.0 0.491013 -2.485969 5.946844 
26 1 0.0 1.864471 -0.476848 6.601375 
27 2 0.0 -0.365959 -3.154685 6.040631 
28 2 0.0 1.949895 0.424312 7.146857 
29 1 0.0 0.627476 -1.239897 6.685138 
30 3 0.0 -0.304604 -0.861918 7.601202 
31 2 0.0 1.769915 -2.244064 8.530377 
32 1 0.0 -0.325131 -1.578123 8.685869 
33 1 0.0 0.926241 -2.254824 9.131157 
34 2 0.0 -2.419637 -1.100043 9.171347 
35 1 0.0 -1.509279 -1.687007 9.476357 
36 1 0.0 0.998749 -2.903428 10.356099 
37 2 0.0 1.941433 -3.337864 10.653276 
38 1 0.0 -1.480949 -2.396078 10.679455 
39 1 0.0 -0.187871 -3.010295 11.192530 
40 1 0.0 -2.588821 -2.696262 11.659676 
41 3 0.0 -3.690825 -2.313075 11.507413 
42 1 0.0 -0.434121 -3.663723 12.463535 
43 4 0.0 -1.937645 -3.399905 12.871551 
44 3 0.0 0.340653 -4.258940 13.126302 
45 2 0.0 -4.482826 -3.400102 13.739044 
46 1 0.0 -2.410782 -3.399068 14.243036 
47 1 0.0 -3.811167 -3.473006 14.551423 
48 2 0.0 -0.470190 -3.410004 15.139640 
49 1 0.0 -1.533043 -3.533468 15.321827 
50 1 0.0 -4.291518 -3.809305 15.786947 
51 2 0.0 -5.368167 -3.941299 15.975923 
52 1 0.0 -1.928624 -3.841566 16.633731 
53 1 0.0 -3.336515 -3.996768 16.817131 
54 3 0.0 0.800041 -2.347042 16.668659 
55 4 0.0 -0.897566 -3.871807 17.675721 
56 2 0.0 -3.705291 -4.338071 17.786197 
57 1 0.0 0.276886 -2.815692 17.620517 
58 3 0.0 -2.076503 -4.737985 19.587807 
59 1 0.0 -1.362429 -3.895306 19.142890 
60 1 0.0 0.482320 -2.241286 18.986209 
61 1 0.0 -0.539042 -2.916132 19.894813 
62 2 0.0 2.164643 -0.859717 18.819186 
63 1 0.0 1.398381 -1.275541 19.478686 
64 1 0.0 -0.754589 -2.326722 21.157816 
65 2 0.0 -1.570982 -2.696573 21.717859 
66 1 0.0 1.158927 -0.804174 20.793243 
67 1 0.0 0.103668 -1.280143 21.619216 
68 2 0.0 1.858669 -0.012371 21.244786 
69 2 0.0 0.625460 1.731801 21.851381 
70 3 0.0 -0.174415 -0.867247 22.851744 
71 1 0.0 0.915179 1.403420 22.807286 
72 1 0.0 0.291249 0.228374 23.418526 
73 2 0.0 2.169160 3.171345 23.102815 
74 2 0.0 4.413902 1.003851 25.734830 
75 2 0.0 4.380739 3.347309 24.310435 
76 1 0.0 1.773669 2.212450 23.511591 
77 1 0.0 0.484452 -0.021842 24.811921 
78 2 0.0 -0.021508 -0.830444 25.271483 
79 1 0.0 3.925021 1.668847 26.463788 
80 1 0.0 2.023740 1.919914 24.881101 
81 1 0.0 3.676805 3.794803 25.013846 
82 2 0.0 4.726927 2.164492 27.016338 
83 1 0.0 1.329976 0.818953 25.530561 
84 2 0.0 3.055318 4.506741 24.385658 
85 2 0.0 3.415883 1.016383 27.229816 
86 2 0.0 4.301970 4.435116 25.699620 
87 1 0.0 2.888045 2.684166 25.785923 
88 2 0.0 1.534340 0.641279 26.572717 
89 1 0.0 2.110980 3.382817 26.843104 
90 2 0.0 0.087124 2.906739 25.964480 
91 2 0.0 3.855198 4.006491 27.933628 
92 1 0.0 0.643042 3.278467 26.835017 
