&& percent of PEI    energy(kcal/mol)
0.0     -351358.9         
0.1     -355200.34        
0.2     -359256.77        
0.3     -362984.07        
0.4     -366712.7         
0.5     -370852.77        
0.6     -374787.53        
0.7     -378809.55        
0.8     -382558.12        
0.9     -386385.73        
1.0     -390493.16        
&& percent of PEI    energy(kcal/mol)
0.0     0.0
0.1     71.98 
0.2     -71.01
0.3    115.11
0.4    299.90
0.5     73.26
0.6    51.92
0.7     -56.67
0.8    108.19
0.9     194.00
1.0    0.0
&& percent of PEI     density
0.0             1.3495259    
0.1             1.3419106    
0.2             1.3379046    
0.3             1.3273902    
0.4             1.3178294    
0.5             1.2942641    
0.6             1.2786197    
0.7             1.2488576    
0.8             1.2689189    
0.9             1.268717     
1.0             1.2517881    
