 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

276 atoms
4 atom types

0.000000   12.000000   xlo xhi 
0.000000   18.000000   ylo yhi 
0.000000   47.297921   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

4  14.006700
1  12.010700
2  1.007940
3  15.999000

Atoms # charge

1 2 0.0 1.154857 0.018621 0.955011 
2 1 0.0 1.488831 -0.989895 1.204921 
3 1 0.0 1.206755 -2.129600 0.354714 
4 2 0.0 4.905934 -4.260325 3.632983 
5 2 0.0 2.604605 -0.290104 2.946247 
6 2 0.0 5.697394 -1.942492 3.125354 
7 1 0.0 2.337878 -1.144913 2.301354 
8 1 0.0 1.730969 -3.427404 0.675842 
9 2 0.0 1.488970 -4.316288 0.044781 
10 1 0.0 2.937957 -2.442465 2.612023 
11 1 0.0 4.175352 -3.881321 4.380928 
12 1 0.0 2.598642 -3.600109 1.797537 
13 2 0.0 4.674149 -3.890953 5.422921 
14 1 0.0 4.957651 -1.493469 3.848088 
15 2 0.0 3.328309 -4.663906 4.507877 
16 2 0.0 3.000873 -4.520764 2.133898 
17 1 0.0 3.666117 -2.439704 3.944506 
18 2 0.0 4.669677 -0.515772 3.550830 
19 2 0.0 5.529820 -1.410732 4.830662 
20 1 0.0 2.707473 -2.018585 5.032046 
21 2 0.0 1.284166 -3.660731 4.460790 
22 2 0.0 3.732977 -0.153541 5.744165 
23 1 0.0 1.488708 -2.787829 5.130632 
24 1 0.0 2.866796 -0.848212 5.891393 
25 1 0.0 0.491013 -2.485969 6.115968 
26 1 0.0 1.864471 -0.476848 6.789113 
27 2 0.0 -0.365959 -3.154685 6.212422 
28 2 0.0 1.949895 0.424312 7.350108 
29 1 0.0 0.627476 -1.239897 6.875258 
30 3 0.0 -0.304604 -0.861918 7.817374 
31 2 0.0 1.769915 -2.244064 8.772974 
32 1 0.0 -0.325131 -1.578123 8.932889 
33 1 0.0 0.926241 -2.254824 9.390840 
34 2 0.0 -2.419637 -1.100043 9.432173 
35 1 0.0 -1.509279 -1.687007 9.745857 
36 1 0.0 0.998749 -2.903428 10.650619 
37 2 0.0 1.941433 -3.337864 10.956247 
38 1 0.0 -1.480949 -2.396078 10.983171 
39 1 0.0 -0.187871 -3.010295 11.510837 
40 1 0.0 -2.588821 -2.696262 11.991268 
41 3 0.0 -3.690825 -2.313075 11.834675 
42 1 0.0 -0.434121 -3.663723 12.817989 
43 4 0.0 -1.937645 -3.399905 13.237608 
44 3 0.0 0.340653 -4.258940 13.499604 
45 2 0.0 -4.482826 -3.400102 14.129772 
46 1 0.0 -2.410782 -3.399068 14.648097 
47 1 0.0 -3.811167 -3.473006 14.965255 
48 2 0.0 -0.470190 -3.410004 15.570200 
49 1 0.0 -1.533043 -3.533468 15.757568 
50 1 0.0 -4.291518 -3.809305 16.235916 
51 2 0.0 -5.368167 -3.941299 16.430266 
52 1 0.0 -1.928624 -3.841566 17.106782 
53 1 0.0 -3.336515 -3.996768 17.295398 
54 3 0.0 0.800041 -2.347042 17.142703 
55 4 0.0 -0.897566 -3.871807 18.178405 
56 2 0.0 -3.705291 -4.338071 18.292023 
57 1 0.0 0.276886 -2.815692 18.121631 
58 3 0.0 -2.076503 -4.737985 20.144869 
59 1 0.0 -1.362429 -3.895306 19.687299 
60 1 0.0 0.482320 -2.241286 19.526162 
61 1 0.0 -0.539042 -2.916132 20.460607 
62 2 0.0 2.164643 -0.859717 19.354389 
63 1 0.0 1.398381 -1.275541 20.032645 
64 1 0.0 -0.754589 -2.326722 21.759528 
65 2 0.0 -1.570982 -2.696573 22.335499 
66 1 0.0 1.158927 -0.804174 21.384587 
67 1 0.0 0.103668 -1.280143 22.234050 
68 2 0.0 1.858669 -0.012371 21.848972 
69 2 0.0 0.625460 1.731801 22.472818 
70 3 0.0 -0.174415 -0.867247 23.501630 
71 1 0.0 0.915179 1.403420 23.455908 
72 1 0.0 0.291249 0.228374 24.084531 
73 2 0.0 2.169160 3.171345 23.759842 
74 2 0.0 4.413902 1.003851 26.466709 
75 2 0.0 4.380739 3.347309 25.001805 
76 1 0.0 1.773669 2.212450 24.180243 
77 1 0.0 0.484452 -0.021842 25.517553 
78 2 0.0 -0.021508 -0.830444 25.990185 
79 1 0.0 3.925021 1.668847 27.216398 
80 1 0.0 2.023740 1.919914 25.588701 
81 1 0.0 3.676805 3.794803 25.725221 
82 2 0.0 4.726927 2.164492 27.784662 
83 1 0.0 1.329976 0.818953 26.256631 
84 2 0.0 3.055318 4.506741 25.079168 
85 2 0.0 3.415883 1.016383 28.004211 
86 2 0.0 4.301970 4.435116 26.430498 
87 1 0.0 2.888045 2.684166 26.519255 
88 2 0.0 1.534340 0.641279 27.328425 
89 1 0.0 2.110980 3.382817 27.606502 
90 2 0.0 0.087124 2.906739 26.702890 
91 2 0.0 3.855198 4.006491 28.728039 
92 1 0.0 0.643042 3.278467 27.598185 
