 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

276 atoms
4 atom types

0.000000   15.369497   xlo xhi 
0.000000   15.369497   ylo yhi 
0.000000   45.146142   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

2  1.007940
1  12.010700
3  15.999000
4  14.000000

Atoms # charge

1 2 0.0 0.249966 3.201123 0.000000 
2 1 0.0 1.118172 2.855052 0.554577 
3 1 0.0 1.413396 1.497438 0.606896 
4 2 0.0 5.410522 4.001051 0.855131 
5 2 0.0 1.680650 4.826878 1.114361 
6 2 0.0 3.731849 5.991741 1.131902 
7 1 0.0 1.944392 3.777960 1.195403 
8 1 0.0 2.524159 1.060692 1.321975 
9 2 0.0 2.757353 0.000000 1.365648 
10 1 0.0 3.085189 3.358196 1.904727 
11 1 0.0 5.477636 4.072386 1.944151 
12 1 0.0 3.345817 1.982452 1.970914 
13 2 0.0 6.187384 4.872167 2.168369 
14 1 0.0 3.746513 5.828704 2.212727 
15 2 0.0 5.898395 3.137378 2.318697 
16 2 0.0 4.209143 1.614962 2.518964 
17 1 0.0 4.075082 4.351571 2.556082 
18 2 0.0 2.776063 6.119626 2.623018 
19 2 0.0 4.492741 6.503590 2.640007 
20 1 0.0 4.071372 4.253711 4.097867 
21 2 0.0 1.987891 3.679417 4.247811 
22 2 0.0 6.118968 4.926667 4.363529 
23 1 0.0 2.891898 3.943585 4.790136 
24 1 0.0 5.192706 4.638212 4.849907 
25 1 0.0 2.825951 4.048726 6.180686 
26 1 0.0 5.126078 4.748127 6.237963 
27 2 0.0 1.881659 3.874781 6.690322 
28 2 0.0 5.984045 5.122019 6.791240 
29 1 0.0 3.940624 4.460627 6.907318 
30 3 0.0 3.799742 4.825911 8.229992 
31 2 0.0 5.974409 3.491775 9.031510 
32 1 0.0 3.896874 4.006694 9.334833 
33 1 0.0 5.118280 3.413586 9.697523 
34 2 0.0 1.872688 4.462588 9.961868 
35 1 0.0 2.803985 3.955872 10.203460 
36 1 0.0 5.264471 2.788788 10.946381 
37 2 0.0 6.220622 2.372992 11.254312 
38 1 0.0 2.970604 3.318467 11.425831 
39 1 0.0 4.167184 2.774630 11.806279 
40 1 0.0 2.035832 3.204619 12.562042 
41 3 0.0 0.895904 3.626314 12.598720 
42 1 0.0 4.029067 2.339083 13.226683 
43 4 0.0 2.762634 2.687915 13.595857 
44 3 0.0 4.907378 1.917912 13.952659 
45 2 0.0 1.769890 4.884555 14.626794 
46 1 0.0 2.316219 2.815545 14.965968 
47 1 0.0 1.808387 4.064945 15.337346 
48 2 0.0 2.855548 0.835482 15.678854 
49 1 0.0 2.407182 1.794154 15.934948 
50 1 0.0 1.344363 4.295953 16.618566 
51 2 0.0 0.942358 5.266805 16.892654 
52 1 0.0 1.951304 2.031365 17.248335 
53 1 0.0 1.425396 3.293457 17.562526 
54 3 0.0 4.451369 1.036142 18.190819 
55 4 0.0 2.163088 1.147992 18.376739 
56 2 0.0 1.100752 3.531857 18.571564 
57 1 0.0 3.433468 1.029014 18.854543 
58 3 0.0 0.027428 1.275346 19.230112 
59 1 0.0 1.228910 1.152238 19.376444 
60 1 0.0 3.325197 1.433946 20.279816 
61 1 0.0 1.997197 1.558294 20.579878 
62 2 0.0 5.361842 1.738880 20.919538 
63 1 0.0 4.309580 1.853885 21.167092 
64 1 0.0 1.570903 2.193418 21.745902 
65 2 0.0 0.511084 2.354439 21.928268 
66 1 0.0 3.905917 2.516208 22.336055 
67 1 0.0 2.542164 2.733185 22.608489 
68 2 0.0 4.660719 2.891530 23.020688 
69 2 0.0 0.930634 5.742384 23.228470 
70 3 0.0 2.124052 3.433913 23.736332 
71 1 0.0 1.774292 5.819486 23.910594 
72 1 0.0 2.541855 4.688620 24.190030 
73 2 0.0 1.434214 7.892860 24.231846 
74 2 0.0 4.929060 8.781874 24.287029 
75 2 0.0 2.701104 9.822246 24.361153 
76 1 0.0 2.061243 7.051753 24.510601 
77 1 0.0 3.593402 4.818898 25.099607 
78 2 0.0 4.188955 3.946711 25.354502 
79 1 0.0 4.954999 8.891383 25.374040 
80 1 0.0 3.119078 7.203631 25.428823 
81 1 0.0 2.657859 9.752821 25.450905 
82 2 0.0 5.279921 9.912672 25.590651 
83 1 0.0 3.878889 6.054697 25.702022 
84 2 0.0 1.613731 9.617609 25.741497 
85 2 0.0 5.711288 8.204059 25.758639 
86 2 0.0 2.984837 10.715229 25.853541 
87 1 0.0 3.556188 8.598790 25.987356 
88 2 0.0 4.719478 6.118469 26.387651 
89 1 0.0 3.548977 8.761852 27.543185 
90 2 0.0 1.435628 8.357455 27.739936 
91 2 0.0 5.632454 9.353645 27.778145 
92 1 0.0 2.338243 8.686571 28.248915 
93 1 0.0 4.666306 9.240991 28.257660 
94 1 0.0 2.230851 9.141419 29.570349 
95 1 0.0 4.560753 9.692873 29.579330 
96 2 0.0 1.257127 9.159987 30.054080 
